Rank,URL,PageRank Score
1,https://www.bbc.com/,0.005308
2,https://www.bbc.co.uk/contact,0.003788
3,https://www.bbc.co.uk/aboutthebbc,0.003784
4,https://www.bbc.co.uk/accessibility/,0.003489
5,https://www.bbc.co.uk/editorialguidelines/guidance/feeds-and-links,0.003486
6,https://www.bbc.co.uk/usingthebbc/terms,0.002986
7,https://www.bbc.com/usingthebbc/privacy/,0.002806
8,https://www.bbc.com/usingthebbc/cookies/,0.002801
9,https://www.bbc.com/advertisingcontact,0.00274
10,https://www.bbc.co.uk/bbcnewsletter,0.002065
11,https://www.bbc.com/usingthebbc/cookies/how-can-i-change-my-bbc-cookie-settings/,0.002038
12,https://www.bbc.com/weather,0.00203
13,https://www.bbc.com/news,0.001716
14,https://www.bbc.com/sport,0.001716
15,https://www.bbc.com/culture,0.001716
16,https://www.bbc.com/travel,0.001716
17,https://www.bbc.com/contact-bbc-com-help,0.001703
18,https://www.bbc.com/newsletters,0.001698
19,https://shop.bbc.com/,0.001698
20,https://www.britbox.com/?utm_source=bbc.com&utm_medium=referral&utm_campaign=footer,0.001698
21,https://www.bbc.co.uk/sounds,0.001422
22,https://www.bbc.com/business,0.001384
23,https://www.bbc.com/future-planet,0.001384
24,https://www.bbc.com/video,0.001384
25,https://www.bbc.co.uk,0.001276
26,https://www.bbc.co.uk/cbeebies,0.001274
27,https://www.bbc.co.uk/cbbc,0.001274
28,https://www.bbc.co.uk/accessibility,0.001272
29,https://www.bbc.co.uk/bitesize,0.001271
30,https://www.bbc.com/innovation,0.001257
31,https://www.bbc.com/live,0.001257
32,https://www.bbc.co.uk/iplayer/guidance,0.001256
33,https://www.bbc.co.uk/guidance,0.001118
34,https://www.bbc.co.uk/sport,0.001104
35,https://www.bbc.co.uk/weather,0.001104
36,https://www.bbc.co.uk/iplayer,0.001104
37,https://www.bbc.co.uk/news,0.001103
38,https://www.bbc.co.uk/usingthebbc/cookies/,0.001095
39,https://www.bbc.co.uk/usingthebbc/terms/,0.001092
40,https://www.bbc.co.uk/usingthebbc/privacy/,0.001092
41,https://www.bbc.co.uk/contact/complaints/,0.001089
42,https://www.bbc.co.uk/notifications,0.001088
43,https://www.bbc.co.uk/food,0.001088
44,https://account.bbc.com/account,0.00108
45,https://www.bbc.com/usingthebbc/privacy,0.00097
46,https://www.bbc.com/usingthebbc/cookies,0.00097
47,https://www.bbc.com/advertisingcontact/,0.00097
48,https://www.bbc.com,0.000801
49,http://www.bbcstudios.com/about-us/about-bbc-studios/,0.000733
50,http://www.bbcstudios.com/about-us/awards/,0.000733
51,http://www.bbcstudios.com/about-us/executive-committee/,0.000733
